,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
1890,Thornbury,1/13 Mansfield St,2,u,525500,S,Nelson,11/02/2017,6.5,3071,2,1,1.0,724.0,72.0,1975.0,Darebin,-37.7564,145.0026,Northern Metropolitan,8870
1891,Toorak,16/3 Tahara Rd,1,u,546000,S,LITTLE,3/12/2016,4.6,3142,1,1,1.0,1677.0,60.638635193133055,,Stonnington,-37.8384,145.0178,Southern Metropolitan,7217
1892,Viewbank,3/23 Christine St,2,u,556000,S,Ray,3/12/2016,13.8,3084,2,1,1.0,195.0,60.638635193133055,1995.0,Banyule,-37.7405,145.0876,Eastern Metropolitan,2698
1893,Viewbank,16/86 Graham Rd,2,u,555000,SP,Miles,10/12/2016,13.8,3084,2,1,2.0,197.0,90.0,1980.0,Banyule,-37.7393,145.0806,Eastern Metropolitan,2698
1894,Viewbank,10/86 Graham Rd,2,u,546000,S,Miles,12/11/2016,13.8,3084,2,1,1.0,177.0,100.0,1975.0,Banyule,-37.7388,145.08100000000002,Eastern Metropolitan,2698
1895,Watsonia,57 Frensham Rd,3,h,581000,S,Barry,3/12/2016,14.9,3087,3,2,2.0,567.0,100.0,1970.0,Banyule,-37.7148,145.0851,Northern Metropolitan,2329
1896,Watsonia,5 Sarong St,3,h,600000,SP,Barry,4/06/2016,14.9,3087,3,1,1.0,605.0,129.0,1970.0,Banyule,-37.7166,145.0837,Northern Metropolitan,2329
1897,Watsonia,1/42 Wattle Dr,3,h,582000,S,Ken,8/10/2016,14.9,3087,3,1,0.0,302.0,90.0,1950.0,Banyule,-37.7163,145.0768,Northern Metropolitan,2329
1898,Watsonia,1/18 Leafield St,3,u,537000,S,Barry,14/05/2016,14.9,3087,3,1,2.0,327.0,95.0,1960.0,Banyule,-37.7125,145.0768,Northern Metropolitan,2329
1899,Windsor,6/213 Dandenong Rd,2,u,600000,S,hockingstuart,6/08/2016,5.1,3181,2,1,1.0,1043.0,60.638635193133055,,Stonnington,-37.8581,144.9972,Southern Metropolitan,4380
1900,Windsor,3/45 Williams Rd,2,u,600000,SP,hockingstuart,24/09/2016,5.1,3181,2,1,1.0,1452.0,96.0,1970.0,Stonnington,-37.8554,145.0018,Southern Metropolitan,4380
1901,Brunswick East,308/69 Lygon St,2,u,570000,PI,Nelson,11/02/2017,4.5,3057,2,1,2.0,1188.0,60.638635193133055,2012.0,Moreland,-37.7769,144.9706,Northern Metropolitan,5533
1902,Essendon West,2/44 Emerald St,2,u,520000,VB,Nelson,18/06/2016,9.8,3040,3,1,2.0,196.0,60.638635193133055,1998.0,Moonee Valley,-37.7513,144.8845,Western Metropolitan,588
1903,Fawkner,4 Lord St,3,h,585000,S,hockingstuart,6/08/2016,12.4,3060,0,1,1.0,605.0,103.0,1960.0,Moreland,-37.6985,144.9615,Northern Metropolitan,5070
1904,Fawkner,73 Major Rd,3,h,526000,S,Harcourts,7/11/2016,12.4,3060,3,1,1.0,404.0,101.0,1960.0,Moreland,-37.7075,144.9678,Northern Metropolitan,5070
1905,Fawkner,13 Mutton Rd,3,h,540000,S,Crane,7/11/2016,12.4,3060,3,1,1.0,614.0,94.0,1960.0,Moreland,-37.7141,144.9677,Northern Metropolitan,5070
1906,Fawkner,45 Bruce St,4,h,540000,VB,Brad,8/10/2016,12.4,3060,4,2,3.0,254.0,164.0,1990.0,Moreland,-37.7082,144.9725,Northern Metropolitan,5070
1907,Fawkner,2/26 Shirley St,3,t,553500,S,Ray,12/11/2016,12.4,3060,3,2,1.0,280.0,60.638635193133055,,Moreland,-37.7027,144.9615,Northern Metropolitan,5070
1908,Fawkner,1 Imaroo St,4,h,570500,S,Ray,15/10/2016,12.4,3060,4,2,1.0,430.0,60.638635193133055,,Moreland,-37.7185,144.9754,Northern Metropolitan,5070
1909,Fawkner,16 Janice Ct,3,h,538000,S,Nelson,18/06/2016,12.4,3060,3,1,4.0,789.0,60.638635193133055,,Hume,-37.6912,144.9623,Northern Metropolitan,5070
1910,Fawkner,17 Edward St,3,h,527000,S,YPA,22/05/2016,12.4,3060,3,1,1.0,609.0,103.0,1960.0,Moreland,-37.7083,144.9644,Northern Metropolitan,5070
1911,Fawkner,102a Jukes Rd,3,t,538000,S,Luxton,22/05/2016,12.4,3060,3,2,2.0,217.0,60.638635193133055,,Moreland,-37.7018,144.9679,Northern Metropolitan,5070
1912,Fawkner,94 Major Rd,3,h,515000,PI,hockingstuart,22/05/2016,12.4,3060,3,1,1.0,599.0,107.0,1960.0,Moreland,-37.7071,144.9666,Northern Metropolitan,5070
1913,Fawkner,162 Anderson Rd,3,h,550000,S,Brad,24/09/2016,12.4,3060,2,1,1.0,583.0,60.638635193133055,,Moreland,-37.6949,144.9619,Northern Metropolitan,5070
1914,Fawkner,1/80 Argyle St,4,u,540000,S,hockingstuart,24/09/2016,12.4,3060,4,2,3.0,209.0,120.0,1960.0,Moreland,-37.7172,144.968,Northern Metropolitan,5070
1915,Fawkner,12 Brockley Rd,3,h,532000,S,Nelson,27/06/2016,12.4,3060,3,1,1.0,614.0,60.638635193133055,,Moreland,-37.716,144.9666,Northern Metropolitan,5070
1916,Fawkner,6 Brockley Rd,2,h,575000,S,Stockdale,27/06/2016,12.4,3060,2,1,2.0,621.0,109.0,1960.0,Moreland,-37.7164,144.9666,Northern Metropolitan,5070
1917,Fawkner,2 Murray St,4,h,562000,S,Stockdale,27/06/2016,12.4,3060,4,2,2.0,374.0,136.0,2005.0,Moreland,-37.7056,144.9671,Northern Metropolitan,5070
1918,Heidelberg,5/68 Brown St,2,u,546500,S,Miles,3/12/2016,10.6,3084,2,1,1.0,132.0,69.0,1972.0,Banyule,-37.7519,145.0687,Eastern Metropolitan,2890
1919,Heidelberg,4/71 Rosanna Rd,3,t,550000,PI,hockingstuart,6/08/2016,10.6,3084,2,1,2.0,235.0,123.0,1990.0,Banyule,-37.7519,145.0696,Eastern Metropolitan,2890
1920,Heidelberg,17/127 Hawdon St,2,u,579000,S,Nelson,11/03/2017,10.6,3084,2,1,2.0,4497.0,60.638635193133055,,Banyule,-37.7529,145.065,Eastern Metropolitan,2890
1921,Heidelberg,3/43 Rosanna Rd,2,u,540000,PI,William,12/11/2016,10.6,3084,2,1,2.0,153.0,97.0,1972.0,Banyule,-37.7538,145.0695,Eastern Metropolitan,2890
1922,Heidelberg,2/56 Banksia St,2,t,595000,SP,Miles,17/09/2016,10.6,3084,2,1,1.0,88.0,60.638635193133055,,Banyule,-37.7587,145.0629,Eastern Metropolitan,2890
1923,Heidelberg,7/106 Brown St,2,t,600000,S,Miles,23/04/2016,10.6,3084,2,1,2.0,145.0,60.638635193133055,1970.0,Banyule,-37.7515,145.0649,Eastern Metropolitan,2890
1924,Jacana,39 Emu Pde,3,h,551000,S,YPA,4/03/2017,14.5,3047,3,1,0.0,610.0,121.0,1955.0,Hume,-37.6885,144.9092,Northern Metropolitan,851
1925,Jacana,16 Gavin St,3,h,537000,S,Barry,18/03/2017,14.5,3047,3,1,2.0,600.0,60.638635193133055,,Hume,-37.6876,144.9095,Northern Metropolitan,851
1926,Jacana,3 Fidge Ct,3,h,600000,S,Woodards,22/05/2016,14.5,3047,3,1,2.0,647.0,173.0,1960.0,Hume,-37.6904,144.9121,Northern Metropolitan,851
1927,West Footscray,2/746 Barkly St,2,t,520000,S,Sweeney,16/07/2016,8.2,3012,2,1,1.0,148.0,60.638635193133055,,Maribyrnong,-37.7956,144.8641,Western Metropolitan,5058
1928,West Footscray,2/30 Fontein St,2,u,545000,SP,Biggin,18/03/2017,8.2,3012,2,1,1.0,154.0,2.0,2005.0,Maribyrnong,-37.8004,144.8647,Western Metropolitan,5058
1929,Albion,29 Norwood St,3,h,593000,SP,Sweeney,4/06/2016,13.9,3020,3,2,2.0,605.0,102.0,1965.0,Brimbank,-37.7792,144.8117,Western Metropolitan,2185
1930,Albion,12 Coolamon St,2,h,600000,SP,Barry,22/05/2016,13.9,3020,2,1,1.0,534.0,90.0,1950.0,Brimbank,-37.7795,144.8204,Western Metropolitan,2185
1931,Albion,70 Forrest St,3,h,600000,VB,Sweeney,22/05/2016,13.9,3020,3,1,1.0,697.0,110.0,1928.0,Brimbank,-37.7842,144.8175,Western Metropolitan,2185
1932,Albion,2/32 Forrest St,3,u,560000,S,Douglas,25/02/2017,13.9,3020,3,2,7.0,420.0,150.0,1970.0,Brimbank,-37.7848,144.8231,Western Metropolitan,2185
1933,Albion,28 Selwyn St,2,h,541000,S,Barry,27/06/2016,13.9,3020,2,1,1.0,497.0,60.638635193133055,,Brimbank,-37.7806,144.8159,Western Metropolitan,2185
1934,Brooklyn,1/8 Paw Paw Rd,2,h,507000,SP,hockingstuart,25/02/2017,10.9,3012,2,1,2.0,191.0,87.0,2014.0,Brimbank,-37.8226,144.8392,Western Metropolitan,962
1935,Oakleigh,5/1 Parer St,2,h,600000,SP,Barry,12/06/2016,14.0,3166,2,1,1.0,211.0,60.638635193133055,1975.0,Monash,-37.9086,145.0977,Southern Metropolitan,3224
1936,Ripponlea,8/10 Maryville St,2,u,570000,S,Buxton,19/11/2016,7.4,3185,2,1,0.0,785.0,60.638635193133055,1964.0,Port Phillip,-37.8756,144.9934,Southern Metropolitan,821
1937,South Kingsville,1/11 New St,3,u,508000,S,Sweeney,25/02/2017,9.1,3015,3,1,2.0,144.0,92.0,1980.0,Hobsons Bay,-37.8268,144.8675,Western Metropolitan,984
1938,South Kingsville,1/72 Paxton St,2,u,506000,S,Sweeney,27/06/2016,9.1,3015,2,1,1.0,126.0,83.0,1975.0,Hobsons Bay,-37.8315,144.8693,Western Metropolitan,984
1939,Keilor Park,2/90 Victory St,3,u,501000,S,Barry,12/11/2016,14.5,3042,3,1,1.0,255.0,132.0,1991.0,Brimbank,-37.7243,144.8533,Western Metropolitan,1119
1940,Keilor Park,3/550 Fullarton Rd,4,t,600000,S,Barry,27/11/2016,14.5,3042,4,2,1.0,231.0,146.0,2013.0,Brimbank,-37.7263,144.8584,Western Metropolitan,1119
1941,Keilor Park,18 William St,3,h,575000,S,Nelson,27/11/2016,14.5,3042,3,1,1.0,338.0,107.0,1960.0,Brimbank,-37.7212,144.8545,Western Metropolitan,1119
1942,Keilor Park,35 Spence St,3,h,566000,S,Nelson,28/05/2016,14.5,3042,3,2,2.0,554.0,129.0,1980.0,Brimbank,-37.7212,144.8598,Western Metropolitan,1119
1943,Ascot Vale,4/225 Maribyrnong Rd,2,t,565000,S,Woodards,13/05/2017,5.9,3032,2,2,1.0,103.0,60.638635193133055,,Moonee Valley,-37.7715,144.9088,Western Metropolitan,6567
1944,Bentleigh East,2/16 Argyle St,2,u,535000,SP,hockingstuart,29/04/2017,13.9,3165,2,1,1.0,1026.0,68.11,1970.0,Glen Eira,-37.911,145.0711,Southern Metropolitan,10969
1945,Brighton,38/568 New St,2,u,520000,PI,hockingstuart,13/05/2017,11.2,3186,2,1,1.0,1647.0,73.0,2004.0,Bayside,-37.8847,144.9972,Southern Metropolitan,10579
1946,Brunswick,7/200 Albion St,2,u,585000,PI,Jellis,20/05/2017,5.2,3056,2,1,1.0,430.0,258.0,2006.0,Moreland,-37.7609,144.9623,Northern Metropolitan,11918
1947,Brunswick,1/135 Brunswick Rd,2,t,600000,PI,Ray,22/04/2017,5.2,3056,2,1,1.0,109.0,60.638635193133055,2011.0,Moreland,-37.7778,144.9683,Northern Metropolitan,11918
1948,Brunswick East,906/330 Lygon St,2,u,550000,SP,Nelson,13/05/2017,4.5,3057,2,1,1.0,1611.0,60.638635193133055,,Moreland,-37.7685,144.9724,Northern Metropolitan,5533
1949,Bulleen,2/1 Colite St,2,t,599900,S,Barry,6/05/2017,11.8,3105,2,1,2.0,135.0,76.0,1970.0,Manningham,-37.7787,145.0918,Eastern Metropolitan,4480
1950,Burwood,3/51 Middleborough Rd,2,u,580000,S,McGrath,6/05/2017,11.7,3125,2,1,1.0,153.0,60.638635193133055,1970.0,Whitehorse,-37.8528,145.1318,Southern Metropolitan,5678
1951,Coburg,1/115 Harding St,2,u,590000,S,Nelson,20/05/2017,7.8,3058,2,1,1.0,79.0,60.638635193133055,,Moreland,-37.746,144.9768,Northern Metropolitan,11204
1952,Fawkner,42a Murray St,3,u,532000,S,Ray,13/05/2017,12.4,3060,3,2,1.0,207.0,205.0,2007.0,Moreland,-37.7049,144.9631,Northern Metropolitan,5070
1953,Fawkner,41 McBryde St,3,t,543500,S,Stockdale,29/04/2017,12.4,3060,3,3,3.0,247.0,103.0,2011.0,Moreland,-37.7133,144.975,Northern Metropolitan,5070
1954,Glenroy,17 Bindi St,3,h,597500,S,YPA,13/05/2017,13.0,3046,3,1,2.0,663.0,84.0,1950.0,Moreland,-37.6962,144.9349,Northern Metropolitan,8870
1955,Glenroy,1/26 York St,3,t,595000,SP,Nelson,20/05/2017,13.0,3046,3,1,2.0,258.0,142.6,2001.0,Moreland,-37.7047,144.9087,Northern Metropolitan,8870
1956,Hawthorn,9/10 Brook St,2,u,580000,PI,Fletchers,8/04/2017,4.6,3122,2,1,1.0,1063.0,60.638635193133055,,Boroondara,-37.8159,145.0194,Southern Metropolitan,11308
1957,Hawthorn,3/3 Glenroy Rd,1,u,535000,S,hockingstuart,8/04/2017,4.6,3122,1,1,1.0,918.0,50.0,2006.0,Boroondara,-37.8294,145.033,Southern Metropolitan,11308
1958,Heidelberg Heights,2/76 Porter Rd,3,t,575000,S,Noel,8/04/2017,10.5,3081,3,1,2.0,192.0,91.0,1995.0,Banyule,-37.7388,145.0581,Eastern Metropolitan,2947
1959,Kealba,14 Rowan Dr,3,h,570000,S,Barry,29/04/2017,15.0,3021,3,1,2.0,557.0,60.638635193133055,,Brimbank,-37.7279,144.8224,Western Metropolitan,1202
1960,Keilor East,12 Hilltop Ct,2,t,570000,SP,Nelson,29/04/2017,12.8,3033,2,2,2.0,55.0,60.638635193133055,,Moonee Valley,-37.7388,144.8767,Western Metropolitan,5629
1961,Kew East,2/14 Westbrook St,2,u,590000,VB,Jellis,20/05/2017,7.5,3102,2,1,1.0,838.0,70.0,1970.0,Boroondara,-37.7974,145.0526,Southern Metropolitan,2671
1962,Murrumbeena,6/51 Murrumbeena Rd,2,u,582000,S,Gary,13/05/2017,12.1,3163,2,1,2.0,1113.0,93.0,2010.0,Glen Eira,-37.8892,145.0664,Southern Metropolitan,4442
1963,Murrumbeena,1/211 Murrumbeena Rd,2,u,535000,PI,Fletchers,22/04/2017,12.1,3163,2,1,1.0,77.0,77.0,1970.0,Glen Eira,-37.8999,145.0643,Southern Metropolitan,4442
1964,Niddrie,2/34 Haldane Rd,2,u,510000,VB,Barry,20/05/2017,11.2,3042,2,1,1.0,167.0,69.0,2013.0,Moonee Valley,-37.7343,144.8824,Western Metropolitan,2291
1965,Oak Park,15 Kiama St,2,t,600000,S,Nelson,6/05/2017,11.5,3046,2,1,1.0,161.0,112.0,2015.0,Moreland,-37.711999999999996,144.9175,Northern Metropolitan,2651
1966,Pascoe Vale,1/29 Devon Rd,2,t,540000,VB,Nelson,13/05/2017,9.9,3044,2,1,2.0,240.0,60.638635193133055,,Moreland,-37.7217,144.924,Northern Metropolitan,7485
1967,Pascoe Vale,5/137 Northumberland Rd,3,t,560000,S,Nelson,20/05/2017,9.9,3044,3,2,1.0,141.0,94.0,2009.0,Moreland,-37.7177,144.9328,Northern Metropolitan,7485
1968,Port Melbourne,317/99 Dow St,2,u,520000,VB,Buxton,8/04/2017,3.8,3207,2,1,1.0,2166.0,54.0,2012.0,Port Phillip,-37.8415,144.9412,Southern Metropolitan,8648
1969,Port Melbourne,204/52 Nott St,2,u,575000,S,Biggin,13/05/2017,3.8,3207,2,1,1.0,7159.0,61.0,2008.0,Port Phillip,-37.841,144.9386,Southern Metropolitan,8648
1970,Prahran,7/72 Williams Rd,2,u,550000,SP,Thomson,13/05/2017,4.5,3181,2,1,1.0,72.0,69.0,1976.0,Stonnington,-37.8542,145.0024,Southern Metropolitan,7717
1971,Prahran,4/38 Porter St,2,u,570000,S,Gary,20/05/2017,4.5,3181,2,1,1.0,479.0,60.638635193133055,,Stonnington,-37.8489,144.9903,Southern Metropolitan,7717
1972,Preston,1/584 Murray Rd,2,u,560000,S,Nelson,29/04/2017,8.8,3072,2,1,2.0,196.0,60.638635193133055,,Darebin,-37.7362,144.9885,Northern Metropolitan,14577
1973,Reservoir,18 Zinnia St,3,h,595000,SP,Barry,6/05/2017,11.2,3073,3,1,1.0,490.0,116.0,1970.0,Darebin,-37.7152,144.9817,Northern Metropolitan,21650
1974,Reservoir,4/65 Thackeray Rd,2,u,505000,S,RW,29/04/2017,11.2,3073,2,1,1.0,110.0,1.0,1960.0,Darebin,-37.7216,145.0099,Northern Metropolitan,21650
1975,Richmond,106/59 Stawell St,2,u,560000,PI,Ray,8/04/2017,2.6,3121,2,1,1.0,7455.0,65.0,2008.0,Yarra,-37.821999999999996,145.0104,Northern Metropolitan,14949
1976,St Kilda,22/3 Alfred Sq,1,u,520000,S,hockingstuart,8/04/2017,6.1,3182,1,1,1.0,2422.0,60.638635193133055,1970.0,Port Phillip,-37.8644,144.9741,Southern Metropolitan,13240
1977,Sunshine North,19 Plymouth Cl,3,h,600000,S,Douglas,6/05/2017,13.3,3020,3,1,2.0,465.0,60.638635193133055,,Brimbank,-37.7549,144.8304,Western Metropolitan,4217
1978,Sunshine West,7 Foxcroft Ct,3,h,511000,S,Barry,8/04/2017,13.5,3020,3,2,2.0,519.0,60.638635193133055,,Brimbank,-37.7997,144.7968,Western Metropolitan,6763
1979,Sunshine West,1/10 Fremont Pde,4,h,515000,SP,Brad,8/04/2017,13.5,3020,4,2,2.0,332.0,159.0,2006.0,Brimbank,-37.7962,144.8064,Western Metropolitan,6763
1980,Sunshine West,27 Warmington Rd,3,h,530000,S,Barry,8/04/2017,13.5,3020,3,1,1.0,573.0,119.0,1970.0,Brimbank,-37.8017,144.8258,Western Metropolitan,6763
1981,Sunshine West,133 David Dr,3,t,521000,S,Bells,29/04/2017,13.5,3020,3,3,2.0,134.0,124.45,2008.0,Brimbank,-37.79,144.7886,Western Metropolitan,6763
1982,Sunshine West,100 Links St,3,h,571000,S,GL,29/04/2017,13.5,3020,3,1,1.0,757.0,100.0,1950.0,Brimbank,-37.7845,144.8088,Western Metropolitan,6763
1983,West Footscray,6/350 Somerville Rd,2,h,502000,S,Sweeney,6/05/2017,8.2,3012,2,1,1.0,2701.0,79.0,2011.0,Maribyrnong,-37.8109,144.8684,Western Metropolitan,5058
1984,West Footscray,2/663 Barkly St,3,u,580000,SP,Jas,8/04/2017,8.2,3012,2,1,0.0,183.0,104.0,1930.0,Maribyrnong,-37.7968,144.8708,Western Metropolitan,5058
1985,Airport West,67 Halsey Rd,3,h,510000,VB,Nelson,29/04/2017,13.5,3042,3,1,1.0,488.0,217.0,1960.0,Moonee Valley,-37.7191,144.8857,Western Metropolitan,3464
1986,Albion,2/36 Selwyn St,3,u,580000,PI,Douglas,13/05/2017,13.9,3020,3,2,2.0,250.0,129.0,2013.0,Brimbank,-37.7798,144.8156,Western Metropolitan,2185
1987,Albion,2/62 Selwyn St,3,u,600000,SA,Douglas,20/05/2017,13.9,3020,3,1,1.0,181.0,129.0,2000.0,Brimbank,-37.7815,144.8128,Western Metropolitan,2185
1988,Altona,2/214 Queen St,2,t,600000,SP,hockingstuart,20/05/2017,13.8,3018,2,1,2.0,190.0,60.638635193133055,,Hobsons Bay,-37.8718,144.819,Western Metropolitan,5301
1989,Altona,3/8 Rayner St,2,t,597500,S,hockingstuart,22/04/2017,13.8,3018,2,1,2.0,178.0,60.638635193133055,2009.0,Hobsons Bay,-37.8701,144.8209,Western Metropolitan,5301
1990,Fitzroy,320/416 Gore St,2,u,600000,VB,Nelson,8/04/2017,1.6,3065,2,1,1.0,2122.0,60.638635193133055,,Yarra,-37.7967,144.9836,Northern Metropolitan,5825
1991,Kensington,217/71 Henry St,2,u,535000,SP,Pagan,8/04/2017,4.2,3031,2,2,1.0,2592.0,70.0,2012.0,Melbourne,-37.7961,144.9261,Northern Metropolitan,5263
1992,Williamstown North,5/46 Kororoit Creek Rd,2,u,546000,S,Williams,8/04/2017,8.9,3016,2,1,1.0,2023.0,60.638635193133055,1979.0,Hobsons Bay,-37.8573,144.8854,Western Metropolitan,802
1993,Albion,2 Bazentin St,3,h,570000,S,Barry,1/07/2017,10.5,3020,3,1,0.0,423.0,142.0,1920.0,Brimbank,-37.77917,144.82223,Western Metropolitan,2185
1994,Broadmeadows,21 Graham St,3,h,518500,S,YPA,1/07/2017,14.0,3047,3,1,0.0,576.0,110.0,1999.0,Hume,-37.692370000000004,144.93143999999998,Northern Metropolitan,4294
1995,Burnside Heights,31 Batman St,3,h,535000,S,Barry,1/07/2017,14.8,3023,3,2,2.0,472.0,230.0,2005.0,Melton,-37.7331,144.76282,Western Metropolitan,1686
1996,Caroline Springs,16/7 Toolondo Cl,3,h,545000,SP,Metro,1/07/2017,14.8,3023,3,2,2.0,301.0,60.638635193133055,,Melton,-37.743970000000004,144.73471999999998,Western Metropolitan,7719
1997,Craigieburn,13 Brampton Cl,3,h,515500,S,RE,1/07/2017,20.6,3064,3,1,4.0,651.0,117.0,1990.0,Hume,-37.60329,144.93948,Northern Metropolitan,15510
1998,Cranbourne,26 Mundaring Dr,5,h,572000,S,O'Brien,1/07/2017,34.7,3977,5,2,1.0,581.0,60.638635193133055,,Casey,-38.10687,145.2811,South-Eastern Metropolitan,7680
1999,Croydon,15 Ronald Rd,2,h,570000,SP,McGrath,1/07/2017,23.0,3136,2,1,1.0,312.0,110.0,1994.0,Maroondah,-37.807520000000004,145.27212,Eastern Metropolitan,11925
2000,Doreen,33 Starboard Dr,3,h,530500,S,Buckingham,1/07/2017,25.9,3754,3,2,2.0,400.0,179.0,2012.0,Whittlesea,-37.61042,145.11932,Northern Victoria,7254
2001,Gisborne,3 Sansom St,4,h,521000,SP,Raine,1/07/2017,45.9,3437,4,2,2.0,978.0,144.0,1980.0,Macedon Ranges,-37.49642,144.60119,Northern Victoria,3376
2002,Glenroy,2/15 Ogden St,3,t,525000,S,Jellis,1/07/2017,11.2,3046,3,1,1.0,194.0,133.0,2011.0,Moreland,-37.701679999999996,144.94862,Northern Metropolitan,8870
2003,Keilor East,18 Grandvalley Dr,2,t,520000,VB,Whiting,1/07/2017,11.7,3033,2,2,2.0,62.0,62.0,2014.0,Moonee Valley,-37.738929999999996,144.87661,Western Metropolitan,5629
2004,Kings Park,169 Gillespie Rd,3,h,520000,PI,Bells,1/07/2017,14.0,3021,3,1,2.0,570.0,60.638635193133055,,Brimbank,-37.73341,144.77161,Western Metropolitan,2878
2005,Kings Park,12 Tanglewood St,3,h,530000,SP,YPA,1/07/2017,14.0,3021,3,1,1.0,532.0,112.0,1975.0,Brimbank,-37.731,144.77387,Western Metropolitan,2878
2006,Maidstone,3/10 Greenham St,2,t,520000,S,Jas,1/07/2017,6.4,3012,2,1,1.0,126.0,60.638635193133055,,Maribyrnong,-37.78775,144.87446,Western Metropolitan,3873
2007,Mernda,6 Renaissance Bvd,4,h,520500,S,RW,1/07/2017,25.9,3754,4,2,2.0,482.0,60.638635193133055,,Whittlesea,-37.60238,145.08695,Northern Metropolitan,5812
2008,North Melbourne,8/302 Abbotsford St,2,u,550000,S,Nelson,1/07/2017,1.8,3051,2,1,0.0,4563.0,60.638635193133055,,Melbourne,-37.79939,144.94635,Northern Metropolitan,6821
2009,Reservoir,57 Crevelli St,2,h,560000,S,Barry,1/07/2017,12.0,3073,2,1,1.0,198.0,60.638635193133055,,Darebin,-37.72874,145.02988,Northern Metropolitan,21650
2010,Ringwood East,3/1 Mines Rd,2,u,560000,S,Barry,1/07/2017,21.3,3135,2,1,2.0,217.0,60.638635193133055,1985.0,Maroondah,-37.80526,145.24628,Eastern Metropolitan,4407
2011,Seaford,3/7 East Rd,3,u,572000,S,O'Brien,1/07/2017,35.4,3198,3,2,2.0,264.0,127.0,2002.0,Frankston,-38.10422,145.14158999999998,South-Eastern Metropolitan,8077
2012,South Morang,15 Ferncroft Dr,4,h,600000,PI,Millership,1/07/2017,20.5,3752,4,2,2.0,505.0,222.0,2009.0,Whittlesea,-37.61957,145.0948,Northern Metropolitan,7969
2013,St Albans,12 Altyre Ct,3,h,565000,S,Bells,1/07/2017,14.0,3021,3,1,2.0,614.0,110.0,1975.0,Brimbank,-37.730740000000004,144.78925,Western Metropolitan,14042
2014,St Kilda,15/2 Redan St,1,u,517500,SP,Woodards,1/07/2017,5.0,3182,1,1,0.0,980.0,74.0,1920.0,Port Phillip,-37.85954,144.98869,Southern Metropolitan,13240
2015,Sunbury,11 Bannermann St,4,h,580000,S,Raine,1/07/2017,31.7,3429,4,2,2.0,613.0,221.0,2011.0,Hume,-37.595009999999995,144.70068999999998,Western Metropolitan,14092
2016,Sunshine,2/17 Anderson Rd,3,t,525000,S,McGrath,1/07/2017,10.5,3020,3,2,1.0,177.0,60.638635193133055,,Brimbank,-37.79408,144.82613999999998,Western Metropolitan,3755
2017,Tarneit,2 Skylark Ct,3,h,526000,S,Purplebricks,1/07/2017,18.4,3029,3,2,2.0,407.0,146.0,2010.0,Wyndham,-37.83867,144.7034,Western Metropolitan,10160
2018,The Basin,65 Government Rd,3,h,551200,SP,iTRAK,1/07/2017,27.0,3154,3,1,2.0,1007.0,60.638635193133055,,Knox,-37.86387,145.31762,Eastern Metropolitan,1690
2019,Thomastown,2/11 French St,3,u,542000,S,Ray,1/07/2017,15.3,3074,3,2,2.0,213.0,60.638635193133055,,Whittlesea,-37.677479999999996,145.01791,Northern Metropolitan,7955
2020,Werribee,22 Kramer St,3,h,510000,S,Ray,1/07/2017,14.7,3030,3,2,2.0,658.0,125.0,1984.0,Wyndham,-37.88688,144.67244,Western Metropolitan,16166
2021,Westmeadows,26 Coghill St,3,h,578000,S,Jason,1/07/2017,16.5,3049,3,2,1.0,308.0,60.638635193133055,,Hume,-37.67485,144.88995,Northern Metropolitan,2474
2022,Williams Landing,89 Sayers Rd,4,h,510000,S,Ray,1/07/2017,17.6,3027,4,2,2.0,443.0,443.0,,Wyndham,-37.8543,144.74437,Western Metropolitan,1999
2023,Wollert,20 Vanin St,4,h,525000,S,Harcourts,1/07/2017,25.5,3750,4,2,2.0,415.0,167.13,,Whittlesea,-37.6161,145.03937,Northern Metropolitan,2940
2024,Altona,2/18 Hancock St,2,u,540000,SP,hockingstuart,3/06/2017,11.0,3018,2,1,1.0,132.0,60.638635193133055,1980.0,Hobsons Bay,-37.86444,144.82304,Western Metropolitan,5301
2025,Altona North,150 Millers Rd,3,h,585000,S,Biggin,3/06/2017,9.4,3025,3,1,1.0,402.0,60.638635193133055,,Hobsons Bay,-37.83012,144.84818,Western Metropolitan,5132
2026,Caroline Springs,6 Alma La,3,h,600000,S,Barry,3/06/2017,14.8,3023,3,1,3.0,406.0,196.0,2005.0,Melton,-37.72484,144.74296,Western Metropolitan,7719
2027,Carrum,14 Parkside Bvd,2,u,529000,S,Buxton,3/06/2017,31.2,3197,2,1,1.0,199.0,84.0,1970.0,Kingston,-38.07938,145.13227,South-Eastern Metropolitan,1989
2028,Chelsea,5/11 Bath St,2,u,525000,PI,hockingstuart,3/06/2017,27.0,3196,2,1,1.0,506.0,60.638635193133055,2011.0,Kingston,-38.05304,145.1151,South-Eastern Metropolitan,3906
2029,Collingwood,226/3 Hoddle St,2,u,561000,S,Raine,3/06/2017,2.0,3066,2,2,2.0,3701.0,60.638635193133055,2005.0,Yarra,-37.80896,144.9911,Northern Metropolitan,4553
